Approved_symbol	Previous_symbols	Gene_group_ID	NCBI_Gene_ID
AKR1C5P		399	100996684
AKR1C6P		399	389932
AKR1C7P		399	648947
AKR1C8	AKR1CL1|AKR1C8P	399	340811
AKR1D1	SRD5B1	399	6718
AKR1D1P1	SRD5BP1|AKR1D1P		80701
AKR1E2	AKRDC1|AKR1CL2	399	83592
AKR7A2		399	8574
AKR7A2P1			246182
AKR7A2P2			159007
AKR7A3		399	22977
AKR7L			246181
AKT1		1900|682	207
AKT1S1		1332	84335
AKT2		682|1900|1691	208
AKT3		1900|682	10000
AKT3-IT1		1989	<NA>
AKTIP	FTS	2012|102	64400
AKTIPP1			101059924
AKTIPP2			100130746
AKTIPP3			100131233
AKU			<NA>
ALAD			210
ALAS1	ALAS3|ALAS		211
ALAS2	ASB		212
ALAS3			<NA>
ALB		1620	213
ALCAM		592|471|590|1410	214
ALD			<NA>
ALDH1A1	PUMB1|ALDH1	398	216
ALDH1A2		398	8854
ALDH1A2-AS1		1987	283665
ALDH1A3	ALDH6	398	220
ALDH1A3-AS1		1987	101927751
ALDH1B1	ALDH5	398	219
ALDH1L1	FTHFD	398	10840
